,collection_date,0
SAMN26308850,2020-03-30,2020.24
SAMN26308866,2020-06-15,2020.45
SAMN26305180,2019-10-30,2019.83
SAMN26305183,2020-07-02,2020.5
SAMN26308479,2020-02-15,2020.12
SAMN26308478,2020-02-15,2020.12
SAMN26308771,2020-07-14,2020.53
SAMN26308772,2020-07-28,2020.57
SAMN26308855,2020-04-24,2020.31
SAMN26308884,2020-08-16,2020.62
SAMN26308810,2019-12-10,2019.94
SAMN26308838,2020-02-20,2020.14
SAMN26308811,2019-12-11,2019.94
SAMN26308489,2020-07-06,2020.51
SAMN26308470,2019-10-21,2019.8
SAMN27404371,2018-10-28,2018.82
SAMN27404370,2018-10-28,2018.82
SAMN27404346,2018-04-16,2018.29
SAMN27404347,2018-04-16,2018.29
SAMN26304906,2020-09-23,2020.73
SAMN26308781,2020-09-25,2020.73
SAMN26308777,2020-06-18,2020.46
SAMN26308770,2020-09-15,2020.7
SAMN26308769,2020-07-15,2020.54
SAMN26304754,2020-08-25,2020.65
SAMN26308779,2020-06-06,2020.43
SAMN26308778,2020-05-21,2020.39
SAMN26308780,2020-06-23,2020.48
SAMN26308464,2019-12-09,2019.94
SAMN26304703,2019-12-09,2019.94
SAMN26304702,2019-11-26,2019.9
SAMN26308839,2020-03-11,2020.19
SAMN26308843,2020-03-12,2020.19
SAMN26308801,2019-11-26,2019.9
SAMN26308490,2020-07-13,2020.53
SAMN26305190,2020-04-21,2020.3
SAMN26308486,2020-06-08,2020.43
SAMN26308794,2019-11-06,2019.85
SAMN26308814,2019-12-19,2019.96
